country,iso,region
Angola,AGO,Africa
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Benin,BEN,Africa
Botswana,BWA,Africa
Democratic Republic of the Congo,COD,Africa
Central African Republic,CAF,Africa
Congo,COG,Africa
Cote D'Ivoire,CIV,Africa
Cameroon,CMR,Africa
Eritrea,ERI,Africa
Ethiopia,ETH,Africa
Gabon,GAB,Africa
Ghana,GHA,Africa
Gambia,GMB,Africa
Guinea,GIN,Africa
Equatorial Guinea,GNQ,Africa
Guinea-Bissau,GNB,Africa
Kenya,KEN,Africa
Liberia,LBR,Africa
Lesotho,LSO,Africa
Madagascar,MDG,Africa
Mali,MLI,Africa
Malawi,MWI,Africa
Mozambique,MOZ,Africa
Namibia,NAM,Africa
Niger,NER,Africa
Nigeria,NGA,Africa
Rwanda,RWA,Africa
South Sudan,SSD,Africa
Sierra Leone,SLE,Africa
Senegal,SEN,Africa
Sao Tome and Principe,STP,Africa
Eswatini,SWZ,Africa
Chad,TCD,Africa
Togo,TGO,Africa
Tanzania,TZA,Africa
Uganda,UGA,Africa
South Africa,ZAF,Africa
Zambia,ZMB,Africa
Zimbabwe,ZWE,Africa
United Arab Emirates,ARE,Arab states
Djibouti,DJI,Arab states
Algeria,DZA,Arab states
Egypt,EGY,Arab states
Iraq,IRQ,Arab states
Jordan,JOR,Arab states
Comoros,COM,Arab states
Kuwait,KWT,Arab states
Lebanon,LBN,Arab states
Libya,LBY,Arab states
Morocco,MAR,Arab states
Mauritania,MRT,Arab states
Oman,OMN,Arab states
Palestinian Territory,PSE,Arab states
Qatar,QAT,Arab states
Saudi Arabia,SAU,Arab states
Sudan,SDN,Arab states
Somalia,SOM,Arab states
Tunisia,TUN,Arab states
Yemen ,YEM,Arab states
Afghanistan,AFG,Asia & Pacific
Australia,AUS,Asia & Pacific
Azerbaijan,AZE,Asia & Pacific
Bangladesh,BGD,Asia & Pacific
Bhutan,BTN,Asia & Pacific
China,CHN,Asia & Pacific
Hong Kong,HKG,Asia & Pacific
Indonesia,IDN,Asia & Pacific
India,IND,Asia & Pacific
Islamic Republic of Iran,IRN,Asia & Pacific
Japan,JPN,Asia & Pacific
Kyrgyzstan,KGZ,Asia & Pacific
Cambodia,KHM,Asia & Pacific
Democratic People's Republic of Korea,PRK,Asia & Pacific
Republic of Korea,KOR,Asia & Pacific
Kazakhstan,KAZ,Asia & Pacific
Lao People's Democratic Republic,LAO,Asia & Pacific
Sri Lanka,LKA,Asia & Pacific
Myanmar,MMR,Asia & Pacific
Mongolia,MNG,Asia & Pacific
Maldives,MDV,Asia & Pacific
Malaysia,MYS,Asia & Pacific
Nepal,NPL,Asia & Pacific
New Zealand,NZL,Asia & Pacific
Papua New Guinea,PNG,Asia & Pacific
Philippines,PHL,Asia & Pacific
Pakistan,PAK,Asia & Pacific
Singapore,SGP,Asia & Pacific
Syrian Arab Republic,SYR,Asia & Pacific
Thailand,THA,Asia & Pacific
Tajikistan,TJK,Asia & Pacific
Turkmenistan,TKM,Asia & Pacific
Timor-Leste,TLS,Asia & Pacific
Taiwan,TWN,Asia & Pacific
Uzbekistan,UZB,Asia & Pacific
Vietnam,VNM,Asia & Pacific
Albania,ALB,Europe
Armenia,ARM,Europe
Austria,AUT,Europe
Bosnia & Herzegovina,BIH,Europe
Belgium,BEL,Europe
Bulgaria,BGR,Europe
Belarus,BLR,Europe
Switzerland,CHE,Europe
Cyprus,CYP,Europe
Czech Republic,CZE,Europe
Germany,DEU,Europe
Denmark,DNK,Europe
Estonia,EST,Europe
Spain,ESP,Europe
Finland,FIN,Europe
France,FRA,Europe
United Kingdom,GBR,Europe
Georgia,GEO,Europe
Greenland,GRL,Europe
Greece,GRC,Europe
Croatia,HRV,Europe
Hungary,HUN,Europe
Ireland,IRL,Europe
Israel,ISR,Europe
Iceland,ISL,Europe
Italy,ITA,Europe
Lithuania,LTU,Europe
Latvia,LVA,Europe
"Moldova, Republic of",MDA,Europe
Macedonia,MKD,Europe
Netherlands,NLD,Europe
Norway,NOR,Europe
Poland,POL,Europe
Portugal,PRT,Europe
Romania,ROU,Europe
Russian Federation,RUS,Europe
Sweden,SWE,Europe
Slovenia,SVN,Europe
Slovakia,SVK,Europe
Turkey,TUR,Europe
Ukraine,UKR,Europe
Serbia,SRB,Europe
Montenegro,MNE,Europe
Canada,CAN,North America
United States,USA,North America
Argentina,ARG,South & Latin America
Bolivia,BOL,South & Latin America
Brazil,BRA,South & Latin America
Belize,BLZ,South & Latin America
Chile,CHL,South & Latin America
Colombia,COL,South & Latin America
Costa Rica,CRI,South & Latin America
Cuba,CUB,South & Latin America
Dominican Republic,DOM,South & Latin America
Ecuador,ECU,South & Latin America
French Guiana,GUF,South & Latin America
Guatemala,GTM,South & Latin America
Guyana,GUY,South & Latin America
Honduras,HND,South & Latin America
Haiti,HTI,South & Latin America
Jamaica,JAM,South & Latin America
Mexico,MEX,South & Latin America
Nicaragua,NIC,South & Latin America
Panama,PAN,South & Latin America
Peru,PER,South & Latin America
Puerto Rico,PRI,South & Latin America
Paraguay,PRY,South & Latin America
Suriname,SUR,South & Latin America
El Salvador,SLV,South & Latin America
Trinidad and Tobago,TTO,South & Latin America
Uruguay,URY,South & Latin America
Venezuela,VEN,South & Latin America
Guadeloupe,GLP,COUNTRIES EXCLUDED (islands/very small territories/populations)
Netherlands Antilles,NA,COUNTRIES EXCLUDED (islands/very small territories/populations)
Bouvet Island,BVT,COUNTRIES EXCLUDED (islands/very small territories/populations)
Falkland Islands (Malvinas),FLK,COUNTRIES EXCLUDED (islands/very small territories/populations)
Saint Vincent and the Grenadines,VCT,COUNTRIES EXCLUDED (islands/very small territories/populations)
"Virgin Islands, British",VGB,COUNTRIES EXCLUDED (islands/very small territories/populations)
"Virgin Islands, U.S.",VIR,COUNTRIES EXCLUDED (islands/very small territories/populations)
Saint Barthelemy,BLM,COUNTRIES EXCLUDED (islands/very small territories/populations)
Saint Martin,NA,COUNTRIES EXCLUDED (islands/very small territories/populations)
Saint Kitts and Nevis,KNA,COUNTRIES EXCLUDED (islands/very small territories/populations)
Cayman Islands,CYM,COUNTRIES EXCLUDED (islands/very small territories/populations)
Saint Lucia,LCA,COUNTRIES EXCLUDED (islands/very small territories/populations)
Martinique,MTQ,COUNTRIES EXCLUDED (islands/very small territories/populations)
Montserrat,MSR,COUNTRIES EXCLUDED (islands/very small territories/populations)
South Georgia and the South Sandwich Islands,SGS,COUNTRIES EXCLUDED (islands/very small territories/populations)
Andorra,AND,COUNTRIES EXCLUDED (islands/very small territories/populations)
Faroe Islands,FRO,COUNTRIES EXCLUDED (islands/very small territories/populations)
Svalbard and Jan Mayen,SJM,COUNTRIES EXCLUDED (islands/very small territories/populations)
San Marino,SMR,COUNTRIES EXCLUDED (islands/very small territories/populations)
Holy See (Vatican City State),VAT,COUNTRIES EXCLUDED (islands/very small territories/populations)
Aland Islands,NA,COUNTRIES EXCLUDED (islands/very small territories/populations)
Guernsey,GGY,COUNTRIES EXCLUDED (islands/very small territories/populations)
Isle of Man,IMN,COUNTRIES EXCLUDED (islands/very small territories/populations)
Jersey,JEY,COUNTRIES EXCLUDED (islands/very small territories/populations)
Gibraltar,GIB,COUNTRIES EXCLUDED (islands/very small territories/populations)
Christmas Island,CXR,COUNTRIES EXCLUDED (islands/very small territories/populations)
Heard Island and McDonald Islands,HMD,COUNTRIES EXCLUDED (islands/very small territories/populations)
British Indian Ocean Territory,IOT,COUNTRIES EXCLUDED (islands/very small territories/populations)
Kiribati,KIR,COUNTRIES EXCLUDED (islands/very small territories/populations)
