level1,level2,level3,level4,un_sdg_groups,diego_groups,type
burundi,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
comoros,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
djibouti,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
eritrea,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
ethiopia,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
kenya,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
madagascar,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
malawi,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
mauritius,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
mayotte,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
mozambique,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
réunion,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
rwanda,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
seychelles,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
somalia,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
south sudan,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
uganda,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
united republic of tanzania,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
zambia,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
zimbabwe,africa,sub-saharan africa,eastern africa,sub-saharan africa,sub-saharan africa,country
angola,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
cameroon,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
central african republic,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
chad,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
congo,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
democratic republic of the congo,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
equatorial guinea,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
gabon,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
sao tome and principe,africa,sub-saharan africa,middle africa,sub-saharan africa,sub-saharan africa,country
botswana,africa,sub-saharan africa,southern africa,sub-saharan africa,sub-saharan africa,country
eswatini,africa,sub-saharan africa,southern africa,sub-saharan africa,sub-saharan africa,country
lesotho,africa,sub-saharan africa,southern africa,sub-saharan africa,sub-saharan africa,country
namibia,africa,sub-saharan africa,southern africa,sub-saharan africa,sub-saharan africa,country
south africa,africa,sub-saharan africa,southern africa,sub-saharan africa,sub-saharan africa,country
benin,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
burkina faso,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
cabo verde,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
côte d'ivoire,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
gambia,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
ghana,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
guinea,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
guinea-bissau,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
liberia,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
mali,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
mauritania,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
niger,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
nigeria,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
saint helena,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
senegal,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
sierra leone,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
togo,africa,sub-saharan africa,western africa,sub-saharan africa,sub-saharan africa,country
algeria,africa,northern africa and western asia,northern africa,northern africa and western asia,northern africa and western asia,country
egypt,africa,northern africa and western asia,northern africa,northern africa and western asia,northern africa and western asia,country
libya,africa,northern africa and western asia,northern africa,northern africa and western asia,northern africa and western asia,country
morocco,africa,northern africa and western asia,northern africa,northern africa and western asia,northern africa and western asia,country
sudan,africa,northern africa and western asia,northern africa,northern africa and western asia,northern africa and western asia,country
tunisia,africa,northern africa and western asia,northern africa,northern africa and western asia,northern africa and western asia,country
western sahara,africa,northern africa and western asia,northern africa,northern africa and western asia,northern africa and western asia,country
armenia,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
azerbaijan,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
bahrain,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
cyprus,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
georgia,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
iraq,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
israel,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
jordan,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
kuwait,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
lebanon,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
oman,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
qatar,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
saudi arabia,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
state of palestine,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
syrian arab republic,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
turkey,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
united arab emirates,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
yemen,asia,northern africa and western asia,western asia,northern africa and western asia,northern africa and western asia,country
kazakhstan,asia,central and southern asia,central asia,central and southern asia,central and southern asia,country
kyrgyzstan,asia,central and southern asia,central asia,central and southern asia,central and southern asia,country
tajikistan,asia,central and southern asia,central asia,central and southern asia,central and southern asia,country
turkmenistan,asia,central and southern asia,central asia,central and southern asia,central and southern asia,country
uzbekistan,asia,central and southern asia,central asia,central and southern asia,central and southern asia,country
afghanistan,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
bangladesh,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
bhutan,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
india,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
iran (islamic republic of),asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
maldives,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
nepal,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
pakistan,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
sri lanka,asia,central and southern asia,southern asia,central and southern asia,central and southern asia,country
china,asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
"china, hong kong sar",asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
"china, macao sar",asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
"china, taiwan province of china",asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
dem people's republic of korea,asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
japan,asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
mongolia,asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
republic of korea,asia,eastern and south-eastern asia,eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
brunei darussalam,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
cambodia,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
indonesia,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
lao people's democratic republic,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
malaysia,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
myanmar,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
philippines,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
singapore,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
thailand,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
timor-leste,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
viet nam,asia,eastern and south-eastern asia,south-eastern asia,eastern and south-eastern asia,eastern and south-eastern asia and oceania (other),country
anguilla,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
antigua and barbuda,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
aruba,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
bahamas,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
barbados,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
british virgin islands,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
"bonaire, sint eustatius and saba",latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
cayman islands,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
cuba,latin america and the caribbean,latin america and the caribbean,caribbean,latin america and the caribbean,latin america and the caribbean,country
