"region","cohort","ex","tfr"
"sub-saharan africa",1950,41.2313801064946,6.27711316
"sub-saharan africa",1951,41.5704113700582,6.266206015
"sub-saharan africa",1952,41.7794163679092,6.22936061691275
"sub-saharan africa",1953,42.1288100107081,6.20026959221476
"sub-saharan africa",1954,42.5602409155205,6.15899142459731
"sub-saharan africa",1955,42.8941973376014,6.09507368895973
"sub-saharan africa",1956,43.2634173855576,6.03127614016779
"sub-saharan africa",1957,43.6437240648054,5.97539024825503
"sub-saharan africa",1958,44.0353307670473,5.93479623691275
"sub-saharan africa",1959,44.2424190083704,5.93571733691275
"sub-saharan africa",1960,44.4714007221886,5.93566916778524
"sub-saharan africa",1961,44.800495054093,5.87939845637584
"sub-saharan africa",1962,45.1345213987259,5.83747826442953
"sub-saharan africa",1963,45.4732897616465,5.77095788322148
"sub-saharan africa",1964,45.8160514132225,5.70875450013423
"sub-saharan africa",1965,46.1610865352771,5.62794459902685
"sub-saharan africa",1966,46.5294263393129,5.54101848348993
"sub-saharan africa",1967,47.0066256543701,5.48009416734899
"sub-saharan africa",1968,47.4954042853634,5.43703744228188
"sub-saharan africa",1969,48.1445448846192,5.38130513959732
"sub-saharan africa",1970,48.569412202113,5.32630626040268
"sub-saharan africa",1971,48.9885007359124,5.27269075503356
"sub-saharan africa",1972,49.4865505813738,5.2055141468792
"sub-saharan africa",1973,49.9888360463278,5.11929122261745
"sub-saharan africa",1974,50.4949054791411,5.04980301073826
"sub-saharan africa",1975,50.9461987035987,5.00234467114094
"sub-saharan africa",1976,51.4147197577246,4.95599244966443
"sub-saharan africa",1977,52.2171254457875,4.91535166442953
"sub-saharan africa",1978,52.8187283607839,4.87870249365772
"sub-saharan africa",1979,53.2066906409844,4.81893856651007
"sub-saharan africa",1980,53.3247595367311,4.75922485979866
"sub-saharan africa",1981,53.5753086182607,4.69945939258389
"sub-saharan africa",1982,53.7792741408113,4.64452603181879
"sub-saharan africa",1983,53.9794141219987,4.57675618220134
"sub-saharan africa",1984,54.4353334120915,4.50918603158389
"sub-saharan africa",1985,54.8545459297822,4.44189864660738
"sub-saharan africa",1986,55.2936527267347,4.37497716441275
"sub-saharan africa",1987,55.7352272022129,4.29659184228188
"sub-saharan africa",1988,56.1599017263293,4.22474836510067
"sub-saharan africa",1989,56.5062126068144,4.16689230671141
"sub-saharan africa",1990,56.8596518969393,4.12100174295302
"sub-saharan africa",1991,57.2374474742673,4.07428503825503
"sub-saharan africa",1992,57.75086547199,4.02650390604027
"sub-saharan africa",1993,58.5098332757105,3.97784706644295
"sub-saharan africa",1994,59.2791751947956,3.92877979194631
"sub-saharan africa",1995,59.9315043582237,3.87695668657718
"sub-saharan africa",1996,60.4108303611584,3.82222243211409
"sub-saharan africa",1997,60.846417999096,3.77288894477852
"sub-saharan africa",1998,61.2540441127863,3.72517346743289
"sub-saharan africa",1999,61.8292067640469,3.67850574991946
"eastern and south-eastern asia",1950,60.1165043287989,4.24513268993289
"eastern and south-eastern asia",1951,61.8365043771823,4.18400968456376
"eastern and south-eastern asia",1952,62.2636212596638,4.12620200536913
"eastern and south-eastern asia",1953,62.8030661209956,3.992739557
"eastern and south-eastern asia",1954,63.4807707786873,3.849744065
"eastern and south-eastern asia",1955,64.1361935998651,3.711746688
"eastern and south-eastern asia",1956,64.4871018012359,3.579817634
"eastern and south-eastern asia",1957,64.8140539854787,3.454633112
"eastern and south-eastern asia",1958,65.1175248880796,3.335922324
"eastern and south-eastern asia",1959,65.3981235914456,3.223485821
"eastern and south-eastern asia",1960,65.6566513613408,3.117124371
"eastern and south-eastern asia",1961,65.8942822458826,3.016637925
"eastern and south-eastern asia",1962,66.333135497074,2.921766025
"eastern and south-eastern asia",1963,66.860609079244,2.831830537
"eastern and south-eastern asia",1964,67.3835757567747,2.746500963
"eastern and south-eastern asia",1965,67.9441233706469,2.665447172
"eastern and south-eastern asia",1966,68.7694239469813,2.588337856
"eastern and south-eastern asia",1967,69.6924382600698,2.514773704
"eastern and south-eastern asia",1968,70.3293098273275,2.444251196
"eastern and south-eastern asia",1969,70.6710486317005,2.376775666
"eastern and south-eastern asia",1970,71.0095687574985,2.312353051
"eastern and south-eastern asia",1971,71.3620063392863,2.250989166
"eastern and south-eastern asia",1972,71.8423279307612,2.192663037
"eastern and south-eastern asia",1973,72.4232273139352,2.138060292
"eastern and south-eastern asia",1974,72.9951324691782,2.08814672
"eastern and south-eastern asia",1975,73.5531397716778,2.04861631006711
"eastern and south-eastern asia",1976,74.0934371360078,2.03545569798658
"eastern and south-eastern asia",1977,74.6131232153659,2.02432448993289
"eastern and south-eastern asia",1978,75.1102901300821,2.01495480671141
"eastern and south-eastern asia",1979,75.5844410603318,2.00739249932886
"eastern and south-eastern asia",1980,76.0367898427933,2.00170164026846
"eastern and south-eastern asia",1981,76.4696964479871,1.99794630201342
"eastern and south-eastern asia",1982,76.885684311056,1.99619055704698
"eastern and south-eastern asia",1983,77.287150028226,1.99601919463087
"eastern and south-eastern asia",1984,77.6756845463062,1.99644284161074
"eastern and south-eastern asia",1985,77.9236909600596,2.00184271812081
"eastern and south-eastern asia",1986,78.1102999531042,1.99516012483221
"eastern and south-eastern asia",1987,78.2940361606237,1.99149624161074
"eastern and south-eastern asia",1988,78.4804355889917,1.98524234765101
"eastern and south-eastern asia",1989,78.6765785507973,1.97714605637584
"eastern and south-eastern asia",1990,78.8914549332259,1.96795218120805
"eastern and south-eastern asia",1991,79.133445428978,1.95840553557047
"eastern and south-eastern asia",1992,79.4018169842628,1.94925093288591
"eastern and south-eastern asia",1993,79.6926165894713,1.94088239060403
"eastern and south-eastern asia",1994,80.0005071311935,1.93310088724832
"eastern and south-eastern asia",1995,80.3183733902194,1.92570649798658
"eastern and south-eastern asia",1996,80.6388329200182,1.91811986442953
