"region","cohort","median","iqr"
"australia_new zealand",1950,2.18504503075195,0.116283981907632
"australia_new zealand",1951,2.16440384598848,0.111374790330429
"australia_new zealand",1952,2.14154126959129,0.102351561144375
"australia_new zealand",1953,2.1213143454404,0.102117345811313
"australia_new zealand",1954,2.10639711906445,0.0981008005909683
"australia_new zealand",1955,2.09210641998174,0.0941717715763049
"australia_new zealand",1956,2.07777467550858,0.0901906230523926
"australia_new zealand",1957,2.06021450841575,0.0823207656610996
"australia_new zealand",1958,2.04856962282639,0.0786269624219362
"australia_new zealand",1959,2.03522010831524,0.0786212778057211
"australia_new zealand",1960,2.02670885478445,0.0756319772273983
"australia_new zealand",1961,2.01929591793537,0.0732718087144839
"australia_new zealand",1962,2.01223683445678,0.0716408978479177
"australia_new zealand",1963,2.00131288789072,0.0672928209735955
"australia_new zealand",1964,1.99353147176072,0.0667677973790932
"australia_new zealand",1965,1.98282761308189,0.0694488174320123
"australia_new zealand",1966,1.97550668156907,0.0691636625055365
"australia_new zealand",1967,1.96864143551945,0.0687104066612458
"australia_new zealand",1968,1.96187499549283,0.0675608078399994
"australia_new zealand",1969,1.95260122074014,0.0628217489695233
"australia_new zealand",1970,1.94723424616558,0.0606216309267682
"australia_new zealand",1971,1.94047491789816,0.0605810023551634
"australia_new zealand",1972,1.93795172812342,0.057502912700901
"australia_new zealand",1973,1.93611598189543,0.0541474520021066
"australia_new zealand",1974,1.93185446622502,0.0477182443081403
"australia_new zealand",1975,1.93047459573743,0.0438384396591793
"australia_new zealand",1976,1.92636781406565,0.0420604873412058
"australia_new zealand",1977,1.92412155276616,0.0374626027578306
"australia_new zealand",1978,1.92158872118081,0.0330471511644514
"australia_new zealand",1979,1.918791777646,0.0291202150465002
"australia_new zealand",1980,1.91569675572934,0.0259518350562786
"australia_new zealand",1981,1.90980314472622,0.0213441744133775
"australia_new zealand",1982,1.90607094816226,0.0205578328767908
"australia_new zealand",1983,1.89979385958507,0.0230232544841278
"australia_new zealand",1984,1.89528913135922,0.0239382262809109
"australia_new zealand",1985,1.89028340089586,0.0251109527623683
"australia_new zealand",1986,1.88471807336535,0.0261388278361681
"australia_new zealand",1987,1.87622618773696,0.0243112023343168
"australia_new zealand",1988,1.86909193716209,0.0239445714520123
"australia_new zealand",1989,1.85889717490227,0.0246785662962989
"australia_new zealand",1990,1.84975016641917,0.0227817286270398
"australia_new zealand",1991,1.83983831949721,0.0204424856506322
"australia_new zealand",1992,1.8293425921171,0.0178547375380529
"australia_new zealand",1993,1.81903678362346,0.0153962940863988
"australia_new zealand",1994,1.80766392819085,0.0113023873611897
"australia_new zealand",1995,1.79930603855599,0.0095975632505243
"australia_new zealand",1996,1.79031062673189,0.00979842546363896
"australia_new zealand",1997,1.78398445421972,0.00859481767692061
"australia_new zealand",1998,1.77841684964515,0.00764882521245069
"australia_new zealand",1999,1.77311084718847,0.00697770902904282
"central and southern asia",1950,4.02192003671897,1.09098595796862
"central and southern asia",1951,3.98447041766994,1.09744514505493
"central and southern asia",1952,3.92385489319364,1.13260242164798
"central and southern asia",1953,3.86248248319569,1.17748592577204
"central and southern asia",1954,3.79463227191562,1.21281317208715
"central and southern asia",1955,3.7354794703485,1.2168434691053
"central and southern asia",1956,3.70390234533375,1.21247641054072
"central and southern asia",1957,3.66405735958655,1.20508499372497
"central and southern asia",1958,3.6251615296227,1.19059482399474
"central and southern asia",1959,3.57944625430125,1.17478120594457
"central and southern asia",1960,3.53520050505673,1.14123032747708
"central and southern asia",1961,3.48545210872024,1.11503219536785
"central and southern asia",1962,3.433740727582,1.08486741042723
"central and southern asia",1963,3.3540482943191,1.04144174951275
"central and southern asia",1964,3.24228695971774,0.994159038841983
"central and southern asia",1965,3.13096916551376,0.954476371305935
"central and southern asia",1966,3.01921262068342,0.899277086677857
"central and southern asia",1967,2.95430601564921,0.869262910417903
"central and southern asia",1968,2.90405854250902,0.809913233481753
"central and southern asia",1969,2.85714374611146,0.722162507215019
"central and southern asia",1970,2.82081848053275,0.640207631770254
"central and southern asia",1971,2.78538483910925,0.563854619484845
"central and southern asia",1972,2.74614094446704,0.477198108998171
"central and southern asia",1973,2.70771933810599,0.439857314618462
"central and southern asia",1974,2.67419436773723,0.412595805302399
"central and southern asia",1975,2.63917909096202,0.393010672521263
"central and southern asia",1976,2.5698418948433,0.36629768682175
"central and southern asia",1977,2.51923141673464,0.353695685601802
"central and southern asia",1978,2.48326520102917,0.354373031324292
"central and southern asia",1979,2.45386199212359,0.373806755859431
"central and southern asia",1980,2.42405364242548,0.382045268641822
"central and southern asia",1981,2.36498911156788,0.41274528281846
"central and southern asia",1982,2.30594012197426,0.458194832919222
"central and southern asia",1983,2.28022685190073,0.504457597559741
"central and southern asia",1984,2.25675050086334,0.528790082163878
"central and southern asia",1985,2.24368913130982,0.559459366772229
"central and southern asia",1986,2.22535501669662,0.596710809912192
"central and southern asia",1987,2.20914313246771,0.637322703330903
"central and southern asia",1988,2.19537230585257,0.666147318820746
"central and southern asia",1989,2.18520923571599,0.675567034649228
"central and southern asia",1990,2.17471940194079,0.704856970397719
"central and southern asia",1991,2.15561407912509,0.717636819249427
"central and southern asia",1992,2.14312509458744,0.737731979621511
"central and southern asia",1993,2.12560081197191,0.754388114926503
"central and southern asia",1994,2.10998311357327,0.755766279799387
"central and southern asia",1995,2.08525832452355,0.762991693453148
"central and southern asia",1996,2.06811763989867,0.761297906879111
"central and southern asia",1997,2.04746407445993,0.748104237428417
"central and southern asia",1998,2.03058419713056,0.741520782718877
"central and southern asia",1999,2.00625516480646,0.73142404884676
"eastern and south-eastern asia",1950,3.03278954808055,1.48683299278353
"eastern and south-eastern asia",1951,3.05089338927548,1.4768373827256
"eastern and south-eastern asia",1952,3.16560710496929,1.52386374470967
"eastern and south-eastern asia",1953,3.27376936335554,1.54996669897501
"eastern and south-eastern asia",1954,3.31878244262824,1.52554787316169
"eastern and south-eastern asia",1955,3.25514876809946,1.50266797787492
"eastern and south-eastern asia",1956,3.14642810170716,1.53640558035511
"eastern and south-eastern asia",1957,3.03233909991287,1.53486062372487
"eastern and south-eastern asia",1958,2.92336332066718,1.49652458611158
"eastern and south-eastern asia",1959,2.83046321811822,1.4525501861187
"eastern and south-eastern asia",1960,2.74233220614239,1.41282740650874
"eastern and south-eastern asia",1961,2.64845128095914,1.35583697362447
"eastern and south-eastern asia",1962,2.56983998412839,1.32269124136404
"eastern and south-eastern asia",1963,2.4847723709267,1.2657736960327
"eastern and south-eastern asia",1964,2.41425816823748,1.21186560972039
"eastern and south-eastern asia",1965,2.33678892572197,1.16097925818546
"eastern and south-eastern asia",1966,2.2734237781038,1.10258889467908
"eastern and south-eastern asia",1967,2.20257429822587,1.05789746857688
"eastern and south-eastern asia",1968,2.14515379847077,1.02277634779099
"eastern and south-eastern asia",1969,2.09039584563051,0.991375695883081
"eastern and south-eastern asia",1970,2.02828118323804,0.975827702710522
"eastern and south-eastern asia",1971,1.97932208199437,0.960775217000268
"eastern and south-eastern asia",1972,1.93312854790449,0.940786708214971
"eastern and south-eastern asia",1973,1.8807778974554,0.930733891863901
"eastern and south-eastern asia",1974,1.8424942371195,0.913885321006927
"eastern and south-eastern asia",1975,1.81602511630197,0.907619840165192
"eastern and south-eastern asia",1976,1.81414167832613,0.900173419235109
"eastern and south-eastern asia",1977,1.8131932102703,0.888797925563764
"eastern and south-eastern asia",1978,1.80627475134478,0.884825267304565
"eastern and south-eastern asia",1979,1.80652958413013,0.876541869160216
"eastern and south-eastern asia",1980,1.80760661174419,0.862834780428028
"eastern and south-eastern asia",1981,1.80982329401303,0.847713972482573
"eastern and south-eastern asia",1982,1.8068481301313,0.835874032659331
"eastern and south-eastern asia",1983,1.81186503634446,0.829557764624435
"eastern and south-eastern asia",1984,1.8173057007448,0.828300428160984
"eastern and south-eastern asia",1985,1.82229471477181,0.812288573507517
"eastern and south-eastern asia",1986,1.83284912681357,0.785050262833904
"eastern and south-eastern asia",1987,1.82726277971315,0.766010349006633
"eastern and south-eastern asia",1988,1.83205892113965,0.733052083829275
"eastern and south-eastern asia",1989,1.82882212049381,0.700795055983374
"eastern and south-eastern asia",1990,1.82959782485065,0.670635076973197
"eastern and south-eastern asia",1991,1.82441690233855,0.66466398892233
"eastern and south-eastern asia",1992,1.82396308310088,0.672801070052414
"eastern and south-eastern asia",1993,1.81903741510702,0.671237968023747
"eastern and south-eastern asia",1994,1.80253071309814,0.663510533776519
"eastern and south-eastern asia",1995,1.7929664955157,0.637658533389586
"eastern and south-eastern asia",1996,1.77767770605518,0.611139421801905
"eastern and south-eastern asia",1997,1.76932841673328,0.585362182772011
"eastern and south-eastern asia",1998,1.76131843855868,0.557443752814592
"eastern and south-eastern asia",1999,1.74700567766779,0.52863647085285
"europe and northern america",1950,1.74696625914446,0.303689622645928
"europe and northern america",1951,1.7318848472128,0.297537832176166
"europe and northern america",1952,1.72328948000304,0.262895643242664
"europe and northern america",1953,1.72086465971436,0.234103107121544
"europe and northern america",1954,1.7184772325664,0.238602765666043
"europe and northern america",1955,1.71579519424837,0.233917032602571
"europe and northern america",1956,1.71459565848738,0.237504528567515
"europe and northern america",1957,1.70916263584299,0.2471240819395
"europe and northern america",1958,1.70455025336506,0.242064546301437
"europe and northern america",1959,1.69431007379457,0.245397586258544
"europe and northern america",1960,1.70061404855675,0.26241398249319
"europe and northern america",1961,1.69496532332738,0.248029293050159
"europe and northern america",1962,1.69060068574751,0.275175996277787
"europe and northern america",1963,1.67488938084977,0.281326811223511
"europe and northern america",1964,1.66252464553424,0.269437266025395
"europe and northern america",1965,1.66448778498603,0.261651077414766
"europe and northern america",1966,1.6535277887237,0.252810724837624
"europe and northern america",1967,1.64398766720863,0.282234359792674
"europe and northern america",1968,1.63460461832984,0.307399539493693
"europe and northern america",1969,1.62368531904477,0.308893765820795
"europe and northern america",1970,1.61440303112572,0.310419621714863
"europe and northern america",1971,1.5952098539836,0.294803934594241
"europe and northern america",1972,1.57948183428885,0.281255835330452
"europe and northern america",1973,1.57511618274769,0.28387321821897
"europe and northern america",1974,1.56358111032612,0.28690396169794
"europe and northern america",1975,1.55429120199358,0.316606381348943
"europe and northern america",1976,1.55145981153069,0.298493431600953
"europe and northern america",1977,1.54355337737663,0.315333356650014
"europe and northern america",1978,1.53681704091255,0.324215190466492
"europe and northern america",1979,1.53550191196829,0.316902457654012
"europe and northern america",1980,1.52996102584904,0.291007747065373
"europe and northern america",1981,1.53335913257748,0.290838579630562
"europe and northern america",1982,1.54238255164571,0.275243364743361
"europe and northern america",1983,1.5586565258285,0.261400522728837
"europe and northern america",1984,1.56872390789451,0.250851992033268
"europe and northern america",1985,1.57589907180256,0.24331457310726
"europe and northern america",1986,1.579438847999,0.234767305711713
"europe and northern america",1987,1.58920559875562,0.223937116402409
"europe and northern america",1988,1.58091485427601,0.221090273145383
"europe and northern america",1989,1.58126101759386,0.215067082921434
"europe and northern america",1990,1.58679814765342,0.238714824122731
"europe and northern america",1991,1.58695065201024,0.254135510600594
"europe and northern america",1992,1.59181811995737,0.251244107630644
"europe and northern america",1993,1.59586059126347,0.238940640214705
"europe and northern america",1994,1.59920685485837,0.230237528972186
"europe and northern america",1995,1.60601714691907,0.229483487267821
"europe and northern america",1996,1.61384512390978,0.227863404135372
"europe and northern america",1997,1.61692728677486,0.227053796898034
"europe and northern america",1998,1.62304658050446,0.230651020417067
"europe and northern america",1999,1.62837421058209,0.226385950689925
"latin america and the caribbean",1950,3.34373219298534,1.24107932507571
"latin america and the caribbean",1951,3.27778587107009,1.1797913770267
"latin america and the caribbean",1952,3.23990121788307,1.14787088815215
"latin america and the caribbean",1953,3.16729401951903,1.13530358925447
"latin america and the caribbean",1954,3.10449970588196,1.11255416892732
"latin america and the caribbean",1955,3.03653841324491,1.06072415083658
"latin america and the caribbean",1956,2.96512779313139,1.00926214573237
"latin america and the caribbean",1957,2.90255346082856,0.967696815400616
"latin america and the caribbean",1958,2.8432202829193,0.938398197304689
"latin america and the caribbean",1959,2.8019876342074,0.943854083418694
"latin america and the caribbean",1960,2.74196796452424,0.926874473260819
"latin america and the caribbean",1961,2.69203006335877,0.925416312303877
"latin america and the caribbean",1962,2.63700609126092,0.903757417898597
"latin america and the caribbean",1963,2.59444601744454,0.888184418714027
"latin america and the caribbean",1964,2.55369300725673,0.824787558117938
"latin america and the caribbean",1965,2.51617710235494,0.768248043910654
"latin america and the caribbean",1966,2.47608193521417,0.728211440261609
"latin america and the caribbean",1967,2.44224467016084,0.70332762928776
"latin america and the caribbean",1968,2.40379351604153,0.68479014425297
"latin america and the caribbean",1969,2.36425219550802,0.655682289294913
"latin america and the caribbean",1970,2.32469017972205,0.620065677396042
"latin america and the caribbean",1971,2.25388046679908,0.585256235679906
"latin america and the caribbean",1972,2.22283051050377,0.567791004874156
"latin america and the caribbean",1973,2.20601783421835,0.54759684148373
"latin america and the caribbean",1974,2.18900356912552,0.542045563704838
"latin america and the caribbean",1975,2.1720306723036,0.546779405583726
"latin america and the caribbean",1976,2.1491074830632,0.524970819382458
"latin america and the caribbean",1977,2.12179406202867,0.518867028377723
"latin america and the caribbean",1978,2.10665505026763,0.49355038880848
"latin america and the caribbean",1979,2.07804789801353,0.484643547045642
"latin america and the caribbean",1980,2.05585165487179,0.48780665512366
"latin america and the caribbean",1981,2.03168506778678,0.48902776506239
"latin america and the caribbean",1982,2.00370083210624,0.483765399824289
"latin america and the caribbean",1983,1.97370926722248,0.485304927913907
"latin america and the caribbean",1984,1.95328706141482,0.467576035756868
"latin america and the caribbean",1985,1.93325353107632,0.466877561348609
"latin america and the caribbean",1986,1.91552788573828,0.457164863524227
"latin america and the caribbean",1987,1.89851244294686,0.458916984678857
"latin america and the caribbean",1988,1.90200203238915,0.444421625408193
"latin america and the caribbean",1989,1.89180700465631,0.437256953336743
"latin america and the caribbean",1990,1.87578640725158,0.439265444124493
"latin america and the caribbean",1991,1.85583969190398,0.426916236525313
"latin america and the caribbean",1992,1.84088897593081,0.410900421740319
"latin america and the caribbean",1993,1.82640951684354,0.40088132096966
"latin america and the caribbean",1994,1.8079984988905,0.388458282705487
"latin america and the caribbean",1995,1.79259835445715,0.382212136905429
"latin america and the caribbean",1996,1.78369390567224,0.380587805407534
"latin america and the caribbean",1997,1.77687203765959,0.377271753649677
"latin america and the caribbean",1998,1.77294690625514,0.372082355939125
"latin america and the caribbean",1999,1.76913518478896,0.362326617922601
"northern africa and western asia",1950,4.6020844613363,2.06377348650874
"northern africa and western asia",1951,4.53635375655281,2.12684799976164
"northern africa and western asia",1952,4.64147723894649,2.17026172436922
"northern africa and western asia",1953,4.72809629963469,2.21556144163733
"northern africa and western asia",1954,4.61004641018846,2.16415894745592
