"region","area","1950_20","1950_45","1950_100","1975_20","1975_45","1975_100","1999_20","1999_45","1999_100"
"australia_new zealand","","0.01 (0)","0.07 (0)","0.55 (0.1)","0 (0)","0.02 (0)","0.23 (0)","0 (0)","0.01 (0)","0.12 (0)"
"","australia","0.01","0.06","0.49","<0.01","0.02","0.21","<0.01","0.01","0.1"
"","new zealand","0.02","0.08","0.62","<0.01","0.02","0.26","<0.01","0.01","0.13"
"central and southern asia","","0.23 (0.2)","1.04 (0.8)","2.76 (0.9)","0.09 (0.1)","0.3 (0.2)","1.43 (0.6)","0.02 (0)","0.06 (0.1)","0.73 (0.5)"
"","afghanistan","0.41","2.19","4.61","0.21","0.95","3.36","0.06","0.23","1.5"
"","bangladesh","0.37","1.47","3.12","0.12","0.32","1.17","0.02","0.06","0.51"
"","bhutan","0.31","1.7","3.42","0.11","0.34","1.35","0.01","0.06","0.52"
"","india","0.23","1","2.65","0.11","0.35","1.56","0.02","0.09","0.79"
"","iran (islamic republic of)","0.25","0.97","2.31","0.03","0.1","0.59","0.01","0.03","0.32"
"","kazakhstan","0.07","0.33","1.54","0.04","0.13","0.93","0.01","0.03","0.68"
"","kyrgyzstan","0.12","0.52","2.28","0.06","0.18","1.34","0.01","0.06","0.88"
"","maldives","0.44","1.47","2.64","0.07","0.16","0.68","<0.01","0.01","0.21"
"","nepal","0.31","1.42","2.97","0.13","0.36","1.52","0.02","0.06","0.58"
"","pakistan","0.22","1.23","3.52","0.12","0.57","2.34","0.05","0.23","1.36"
"","sri lanka","0.05","0.25","1.21","0.01","0.05","0.5","<0.01","0.02","0.34"
"","tajikistan","0.2","1.08","3.31","0.11","0.36","1.65","0.03","0.1","1.12"
"","turkmenistan","0.13","0.71","2.87","0.06","0.27","1.57","0.03","0.14","1.14"
"","uzbekistan","0.12","0.6","2.57","0.07","0.22","1.5","0.02","0.07","0.86"
"eastern and south-eastern asia","","0.06 (0.1)","0.34 (0.7)","1.6 (1.9)","0.01 (0)","0.08 (0.2)","0.69 (0.9)","0 (0)","0.02 (0.1)","0.33 (0.6)"
"","brunei darussalam","0.06","0.22","1.73","0.01","0.04","0.61","<0.01","0.02","0.33"
"","cambodia","0.19","1.98","3.54","0.1","0.39","1.52","0.02","0.08","0.79"
"","china","0.11","0.35","1.35","0.02","0.08","0.52","<0.01","0.02","0.32"
