"region","area","1950_20","1950_45","1950_100","1975_20","1975_45","1975_100","1999_20","1999_45","1999_100"
"australia_new zealand","","0.7 (0.1)","2.32 (0.1)","1.83 (0.1)","0.3 (0)","2.01 (0)","1.8 (0)","0.21 (0)","1.83 (0)","1.72 (0)"
"","australia","0.62","2.2","1.77","0.26","1.96","1.77","0.17","1.82","1.72"
"","new zealand","0.78","2.44","1.9","0.35","2.06","1.82","0.25","1.84","1.71"
"central and southern asia","","0.9 (0.2)","4.12 (1.2)","2.31 (0.6)","0.88 (0.2)","2.7 (0.4)","1.66 (0.4)","0.58 (0.2)","2.11 (0.8)","1.57 (0.5)"
"","afghanistan","0.97","4.94","2.52","1.22","5.3","2.89","0.81","3.18","1.92"
"","bangladesh","1.24","4.13","2.48","0.94","2.48","1.63","0.64","1.68","1.23"
"","bhutan","0.9","4.34","2.63","0.91","2.8","1.79","0.36","1.79","1.32"
"","india","0.9","3.34","1.7","0.91","2.68","1.47","0.5","2.1","1.4"
"","iran (islamic republic of)","1.04","4.77","3.44","0.63","2.13","1.63","0.37","2.03","1.75"
"","kazakhstan","0.68","2.62","1.41","0.64","2.3","1.5","0.56","2.51","1.87"
"","kyrgyzstan","0.86","3.51","1.76","0.82","2.8","1.65","0.66","2.67","1.84"
"","maldives","1.21","5.12","3.95","0.86","2.69","2.17","0.3","1.74","1.54"
"","nepal","0.87","3.68","2.13","1.07","2.91","1.75","0.64","1.57","1.06"
"","pakistan","0.94","4.9","2.62","0.86","3.81","2.04","0.61","2.72","1.6"
"","sri lanka","0.68","3.05","2.1","0.38","2.11","1.66","0.32","2","1.68"
"","tajikistan","1.12","4.74","2.5","0.9","3.3","2.01","1.03","2.95","1.93"
"","turkmenistan","0.84","4.11","1.95","0.64","2.61","1.32","0.53","2.43","1.43"
"","uzbekistan","0.89","4.02","2.05","0.93","2.72","1.44","0.62","2.12","1.33"
