"region","area","1950_25","1950_70","1950_99","1975_25","1975_70","1975_99","1999_25","1999_70","1999_99"
"australia_new zealand","","0.01 (0)","0.02 (0.01)","0.02 (0.01)","0 (0)","0.01 (0)","0.01 (0)","0 (0)","0.01 (0)","0.01 (0)"
"","australia","0.01","0.02","0.01","<0.01","0.01","0.01","<0.01","0.01","0.01"
"","new zealand","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"central and southern asia","","19.02 (0.51)","3.98 (0.06)","0.52 (0.01)","11.17 (0.39)","5.48 (0.12)","1.35 (0.02)","4.86 (0.15)","4.37 (0.12)","2.03 (0.06)"
"","afghanistan","0.47","0.07","<0.01","0.5","0.16","0.01","0.23","0.17","0.03"
"","bangladesh","1.99","0.31","0.11","0.79","0.37","0.26","0.2","0.24","0.32"
"","bhutan","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","india","13.65","2.95","0.34","7.52","3.93","0.9","2.87","2.95","1.38"
"","iran (islamic republic of)","0.58","0.08","0.02","0.12","0.08","0.07","0.03","0.04","0.08"
"","kazakhstan","0.08","0.05","0.01","0.04","0.06","0.02","0.01","0.03","0.02"
"","kyrgyzstan","0.03","0.01","<0.01","0.02","0.02","0.01","0.01","0.02","0.01"
"","maldives","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","nepal","0.4","0.05","<0.01","0.16","0.07","0.02","0.04","0.05","0.04"
"","pakistan","1.4","0.31","0.01","1.78","0.63","0.03","1.39","0.74","0.08"
"","sri lanka","0.08","0.05","0.01","0.02","0.03","0.02","0.01","0.02","0.03"
"","tajikistan","0.07","0.02","<0.01","0.05","0.02","<0.01","0.02","0.03","0.01"
"","turkmenistan","0.04","0.02","<0.01","0.03","0.02","<0.01","0.02","0.02","<0.01"
"","uzbekistan","0.19","0.06","<0.01","0.12","0.09","0.02","0.04","0.07","0.02"
"eastern and south-eastern asia","","12.79 (0.47)","4.34 (0.16)","1.93 (0.07)","3.89 (0.11)","2.92 (0.13)","2.22 (0.1)","1.18 (0.05)","1.85 (0.08)","2.31 (0.07)"
"","brunei darussalam","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","cambodia","0.6","0.03","<0.01","0.07","0.03","0.01","0.03","0.04","0.02"
"","china","7.83","2.41","1.28","2.04","1.22","1.41","0.44","0.65","1.43"
"","china, hong kong sar","0.01","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","china, macao sar","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","china, taiwan province of china","0.03","0.06","0.04","0.01","0.02","0.03","<0.01","0.01","0.01"
"","dem people's republic of korea","0.07","0.03","0.01","0.07","0.03","0.01","0.02","0.02","0.02"
"","indonesia","1.87","0.61","0.06","0.74","0.58","0.16","0.27","0.43","0.27"
"","japan","0.1","0.13","0.18","0.02","0.05","0.11","<0.01","0.02","0.06"
"","lao people's democratic republic","0.09","0.02","<0.01","0.06","0.02","<0.01","0.02","0.02","0.01"
"","malaysia","0.06","0.07","0.01","0.02","0.05","0.02","0.01","0.03","0.03"
"","mongolia","0.03","0.01","<0.01","0.01","0.01","<0.01","<0.01","0.01","<0.01"
"","myanmar","0.6","0.17","0.01","0.31","0.16","0.01","0.12","0.12","0.02"
"","philippines","0.52","0.35","0.06","0.3","0.39","0.12","0.15","0.3","0.16"
"","republic of korea","0.17","0.06","0.07","0.02","0.03","0.07","<0.01","0.01","0.02"
"","singapore","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","thailand","0.3","0.16","0.07","0.07","0.11","0.1","0.01","0.05","0.08"
"","timor-leste","0.03","<0.01","<0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01"
"","viet nam","0.48","0.24","0.11","0.16","0.2","0.15","0.09","0.13","0.16"
"europe and northern america","","1.11 (0.02)","2.05 (0.02)","0.77 (0.01)","0.34 (0)","1.14 (0.01)","0.74 (0.01)","0.15 (0)","0.66 (0.01)","0.68 (0.01)"
"","albania","0.01","0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","austria","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","belarus","0.01","0.03","<0.01","<0.01","0.02","0.01","<0.01","0.01","0.01"
"","belgium","0.01","0.01","0.01","<0.01","0.01","0.01","<0.01","<0.01","<0.01"
"","bosnia and herzegovina","0.01","0.01","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","bulgaria","0.01","0.03","<0.01","<0.01","0.01","<0.01","<0.01","<0.01","<0.01"
"","canada","0.02","0.03","0.02","0.01","0.01","0.02","<0.01","0.01","0.01"
"","channel islands","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","croatia","0.01","0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01","<0.01"
"","czechia","0.01","0.02","0.01","<0.01","0.01","0.01","<0.01","<0.01","<0.01"
