"region","area","1950","1960","1970","1980","1990","1999"
"australia_new zealand","","2.19 (0.1)","2.03 (0.1)","1.95 (0.1)","1.92 (0)","1.85 (0)","1.77 (0)"
"","australia","2.07","1.95","1.89","1.89","1.83","1.77"
"","new zealand","2.3","2.1","2.01","1.94","1.87","1.78"
"central and southern asia","","4.02 (1.1)","3.54 (1.1)","2.82 (0.6)","2.42 (0.4)","2.17 (0.7)","2.01 (0.7)"
"","afghanistan","4.07","5.14","5.38","4.92","3.93","3.09"
"","bangladesh","4.12","3.43","2.75","2.16","1.78","1.6"
"","bhutan","4.18","3.95","3.15","2.39","1.9","1.68"
"","india","3.33","3.07","2.79","2.46","2.24","2.01"
"","iran (islamic republic of)","4.74","3.93","2.5","1.92","1.96","1.98"
"","kazakhstan","2.44","2.23","2.13","2.25","2.41","2.35"
"","kyrgyzstan","3.37","3.1","2.81","2.63","2.67","2.51"
"","maldives","5.1","4.84","3.4","2.19","1.86","1.69"
"","nepal","3.63","3.64","3.2","2.48","1.81","1.51"
"","pakistan","4.89","4.65","4.1","3.39","2.92","2.63"
"","sri lanka","2.95","2.47","2.08","2.04","1.97","1.9"
"","tajikistan","4.64","4.4","3.58","2.96","2.85","2.82"
"","turkmenistan","3.97","3.36","2.7","2.45","2.47","2.29"
"","uzbekistan","3.9","3.29","2.83","2.33","2.11","2"
"eastern and south-eastern asia","","3.03 (1.5)","2.74 (1.4)","2.03 (1)","1.81 (0.9)","1.83 (0.7)","1.75 (0.5)"
"","brunei darussalam","4.08","3.21","2.33","1.91","1.78","1.64"
"","cambodia","3.73","3.88","3.28","2.41","2.08","1.93"
"","china","2.68","2.03","1.75","1.62","1.67","1.73"
"","china, hong kong sar","2.19","1.45","1.1","1.22","1.45","1.56"
"","china, macao sar","1.43","1.79","1.11","1.01","1.18","1.31"
"","china, taiwan province of china","2.47","1.99","1.61","1.34","1.34","1.42"
"","dem people's republic of korea","2.38","2.28","1.92","1.81","1.83","1.77"
"","indonesia","3.55","2.91","2.33","2.13","2.05","1.92"
"","japan","1.86","1.7","1.41","1.39","1.45","1.47"
"","lao people's democratic republic","4.39","4.31","3.54","2.72","2.27","2.03"
"","malaysia","3.91","3.38","2.75","2.15","1.89","1.75"
"","mongolia","4.08","3.24","2.39","2.38","2.55","2.43"
"","myanmar","3.83","3.01","2.39","2.08","1.86","1.75"
"","philippines","4.17","3.57","3.19","2.82","2.33","2.02"
"","republic of korea","2.44","1.84","1.65","1.41","1.25","1.23"
"","singapore","2.07","1.74","1.52","1.29","1.22","1.23"
"","thailand","2.72","1.95","1.58","1.41","1.31","1.31"
"","timor-leste","3.03","4.11","4.71","4.27","3.51","2.94"
"","viet nam","3.88","2.74","2.03","1.73","2.02","2.17"
"europe and northern america","","1.75 (0.3)","1.7 (0.3)","1.61 (0.3)","1.53 (0.3)","1.59 (0.2)","1.63 (0.2)"
"","albania","3.32","2.66","2.17","1.7","1.53","1.43"
"","austria","1.61","1.5","1.48","1.51","1.59","1.65"
"","belarus","1.69","1.57","1.38","1.44","1.73","1.8"
"","belgium","1.64","1.65","1.7","1.84","1.77","1.67"
"","bosnia and herzegovina","2","1.76","1.54","1.41","1.33","1.28"
"","bulgaria","1.73","1.58","1.39","1.39","1.52","1.63"
"","canada","1.73","1.64","1.63","1.63","1.57","1.53"
"","channel islands","1.51","1.51","1.49","1.52","1.52","1.54"
"","croatia","1.63","1.69","1.59","1.58","1.55","1.5"
"","czechia","1.82","1.72","1.61","1.53","1.64","1.72"
"","denmark","1.71","1.71","1.82","1.8","1.74","1.7"
"","estonia","1.71","1.69","1.57","1.64","1.73","1.72"
"","finland","1.63","1.74","1.76","1.71","1.53","1.42"
"","france","1.88","1.88","1.84","1.91","1.84","1.75"
"","germany","1.49","1.46","1.4","1.51","1.64","1.69"
"","greece","1.88","1.71","1.5","1.4","1.36","1.33"
"","hungary","1.67","1.69","1.6","1.41","1.42","1.52"
"","iceland","2.36","2.22","2.11","2.06","1.88","1.74"
"","ireland","2.8","2.26","2.01","1.94","1.86","1.75"
"","italy","1.72","1.53","1.41","1.4","1.38","1.38"
"","latvia","1.57","1.56","1.44","1.45","1.61","1.7"
"","lithuania","1.74","1.57","1.45","1.51","1.68","1.71"
"","luxembourg","1.54","1.58","1.72","1.69","1.48","1.42"
"","malta","1.9","1.88","1.66","1.52","1.55","1.61"
"","montenegro","2.17","1.95","1.87","1.83","1.82","1.78"
"","netherlands","1.75","1.72","1.68","1.69","1.66","1.67"
"","north macedonia","2.13","2","1.86","1.67","1.59","1.56"
"","norway","1.87","1.82","1.91","1.86","1.74","1.66"
"","poland","1.91","1.85","1.65","1.37","1.41","1.48"
"","portugal","1.92","1.67","1.54","1.41","1.41","1.46"
"","republic of moldova","1.96","1.95","1.62","1.26","1.22","1.28"
"","romania","2.01","1.8","1.41","1.4","1.53","1.61"
"","russian federation","1.57","1.46","1.29","1.42","1.71","1.79"
"","serbia","2","2","1.8","1.66","1.53","1.49"
"","slovakia","2.03","1.86","1.66","1.42","1.45","1.55"
"","slovenia","1.68","1.62","1.53","1.53","1.63","1.68"
"","spain","2.01","1.62","1.4","1.36","1.45","1.5"
"","sweden","1.79","1.87","1.86","1.83","1.82","1.78"
"","switzerland","1.63","1.62","1.56","1.57","1.62","1.63"
"","ukraine","1.55","1.43","1.27","1.26","1.37","1.43"
"","united kingdom","1.83","1.76","1.73","1.77","1.78","1.74"
"","united states of america","1.7","1.69","1.82","1.87","1.83","1.8"
"latin america and the caribbean","","3.34 (1.2)","2.74 (0.9)","2.32 (0.6)","2.06 (0.5)","1.88 (0.4)","1.77 (0.4)"
"","antigua and barbuda","2.2","1.92","1.9","1.85","1.79","1.78"
"","argentina","2.66","2.64","2.36","2.16","2.04","1.96"
"","aruba","2.25","2","1.73","1.7","1.95","2"
"","bahamas","2.51","2.39","2.04","1.76","1.63","1.58"
"","barbados","2.01","1.7","1.54","1.59","1.59","1.72"
"","belize","4.73","3.98","3.2","2.54","2.05","1.82"
"","bolivia (plurinational state of)","3.71","3.55","3.19","2.78","2.4","2.15"
"","brazil","3.05","2.39","1.98","1.74","1.57","1.51"
"","chile","2.51","2.34","2.03","1.79","1.65","1.55"
"","colombia","3.16","2.57","2.19","1.87","1.63","1.52"
"","costa rica","3.1","2.77","2.29","1.81","1.6","1.52"
"","cuba","2.06","1.61","1.5","1.42","1.43","1.4"
"","curaçao","2.29","2.02","1.99","1.92","1.74","1.61"
"","dominican republic","3.54","2.78","2.38","2.14","1.97","1.83"
"","ecuador","3.81","3.12","2.64","2.3","2.07","1.94"
"","el salvador","3.7","3.13","2.57","2.05","1.74","1.63"
