"region","area","1950","1960","1970","1980","1990","1999"
"australia_new zealand","","0.92 (0)","0.93 (0)","0.95 (0)","0.95 (0)","0.96 (0)","0.97 (0)"
"","australia","0.92","0.93","0.95","0.96","0.96","0.97"
"","new zealand","0.91","0.93","0.94","0.95","0.96","0.96"
"central and southern asia","","0.8 (0.1)","0.84 (0.1)","0.86 (0)","0.9 (0)","0.92 (0)","0.92 (0)"
"","afghanistan","0.75","0.78","0.82","0.86","0.88","0.9"
"","bangladesh","0.73","0.79","0.85","0.89","0.92","0.92"
"","bhutan","0.74","0.79","0.85","0.89","0.91","0.91"
"","india","0.77","0.81","0.85","0.88","0.91","0.92"
"","iran (islamic republic of)","0.83","0.89","0.93","0.95","0.96","0.96"
"","kazakhstan","0.83","0.85","0.87","0.9","0.92","0.92"
"","kyrgyzstan","0.84","0.86","0.88","0.91","0.92","0.92"
"","maldives","0.78","0.86","0.91","0.95","0.97","0.96"
"","nepal","0.73","0.79","0.85","0.9","0.92","0.92"
"","pakistan","0.8","0.82","0.84","0.86","0.88","0.89"
"","sri lanka","0.89","0.91","0.93","0.93","0.94","0.94"
"","tajikistan","0.8","0.83","0.86","0.9","0.93","0.92"
"","turkmenistan","0.82","0.84","0.86","0.87","0.89","0.89"
"","uzbekistan","0.84","0.86","0.88","0.9","0.92","0.92"
"eastern and south-eastern asia","","0.87 (0.1)","0.89 (0.1)","0.89 (0.1)","0.92 (0)","0.93 (0)","0.93 (0)"
"","brunei darussalam","0.93","0.93","0.92","0.92","0.93","0.93"
"","cambodia","0.66","0.77","0.85","0.88","0.91","0.91"
"","china","0.87","0.91","0.91","0.93","0.95","0.95"
"","china, hong kong sar","0.94","0.94","0.95","0.96","0.96","0.97"
"","china, macao sar","0.94","0.95","0.95","0.96","0.96","0.96"
"","china, taiwan province of china","0.91","0.91","0.92","0.93","0.94","0.95"
"","dem people's republic of korea","0.89","0.89","0.87","0.9","0.93","0.93"
"","indonesia","0.81","0.85","0.89","0.91","0.91","0.92"
"","japan","0.93","0.93","0.94","0.95","0.96","0.96"
"","lao people's democratic republic","0.75","0.79","0.83","0.87","0.9","0.92"
"","malaysia","0.92","0.92","0.93","0.93","0.94","0.94"
"","mongolia","0.8","0.82","0.87","0.92","0.92","0.92"
"","myanmar","0.8","0.82","0.85","0.88","0.9","0.9"
"","philippines","0.85","0.86","0.88","0.88","0.88","0.89"
